"registrim","regisannee","sigle","nbcours","etudiants"
"3","2016","CHN1110",1,24
"3","2016","CHN1200",1,16
"3","2016","CHN1300",1,9
"3","2016","CHN1400",1,12
"3","2016","COM1011",3,81
"3","2016","COM1015",2,65
"3","2016","COM1065",1,36
"3","2016","COM1090",2,81
"3","2016","COM1105",4,90
"3","2016","COM1115",3,105
"3","2016","COM1125",3,104
"3","2016","COM1133",1,32
"3","2016","COM1151",2,92
"3","2016","COM1153",1,29
"3","2016","COM1158",1,91
"3","2016","COM1433",2,61
"3","2016","COM1613",2,65
"3","2016","COM1623",2,58
"3","2016","COM1625",1,61
"3","2016","COM1627",2,82
"3","2016","COM1630",4,231
"3","2016","COM2025",1,36
"3","2016","COM2180",1,46
"3","2016","COM2659",3,86
"3","2016","COM3003",2,132
"3","2016","COM3065",2,50
"3","2016","COM3066",3,88
"3","2016","COM3070",2,85
"3","2016","COM3104",3,121
"3","2016","COM3111",1,64
"3","2016","COM3112",1,33
"3","2016","COM3113",1,55
"3","2016","COM3118",2,66
"3","2016","COM3121",3,160
"3","2016","COM3126",2,64
"3","2016","COM3130",3,164
"3","2016","COM3136",3,136
"3","2016","COM3215",4,128
"3","2016","COM3400",2,64
"3","2016","COM4065",1,33
"3","2016","COM5053",1,26
"3","2016","COM5065",2,139
"3","2016","COM5500",1,17
"3","2016","COM6200",1,33
"3","2016","COM7201",1,18
"3","2016","COM7501",1,7
"3","2016","COM7524",1,14
"3","2016","COM7601",1,19
"3","2016","COM7611",1,8
"3","2016","COM7632",1,5
"3","2016","COM7701",1,16
"3","2016","COM7814",1,2
"3","2016","COM9124",1,10
"3","2016","COM9190",1,3
"3","2016","CPS2000",2,31
"3","2016","DAN1033",2,32
"3","2016","DAN1040",1,34
"3","2016","DAN2061",1,32
"3","2016","DAN4111",1,19
"3","2016","DAN4312",1,22
"3","2016","DAN7400",1,8
"3","2016","DAN7810",1,8
"3","2016","DCM7611",1,24
"3","2016","DDD1000",1,44
"3","2015","DDD1100",1,17
"3","2016","DDD1100",5,188
"3","2016","DDD1210",5,250
"3","2016","DDD1230",2,101
"3","2016","DDD1590",1,19
"3","2016","DDD2090",1,21
"3","2016","DDD2210",3,165
"3","2016","DDD2230",2,89
"3","2016","DDD2590",1,29
"3","2016","DDD3291",1,53
"3","2016","DDD3410",2,94
"3","2016","DDD3510",2,88
"3","2016","DDD3590",1,16
"3","2016","DDD3651",4,106
"3","2016","DDD3701",1,41
"3","2016","DDD4000",1,44
"3","2016","DDD5410",4,171
"3","2016","DDD7020",1,14
"3","2016","DDD7200",1,15
"3","2016","DDD7210",2,41
"3","2016","DDD7601",3,77
"3","2016","DDD7650",2,39
"3","2016","DDD7692",2,37
"3","2016","DDD7696",1,16
"3","2016","DDD7901",1,6
"3","2016","DDD8010",1,14
"3","2016","DDD828I",1,25
"3","2016","DDD828K",1,21
"3","2016","DDD8520",2,19
"3","2016","DDD8540",1,22
"3","2016","DDD9651",2,24
"3","2016","DDD9667",2,34
"3","2016","DDL1140",2,107
"3","2016","DDL1480",2,133
"3","2016","DDL2131",1,30
"3","2016","DDL2320",1,47
"3","2016","DDL2502",1,47
"3","2016","DDL3134",1,75
"3","2016","DDL3137",1,27
"3","2016","DDL3145",2,77
"3","2016","DDL3146",1,36
"3","2016","DDL3175",2,87
"3","2016","DDL3176",1,34
"3","2016","DDL3334",1,39
"3","2016","DDL3450",1,65
"3","2016","DDL3735",4,188
"3","2016","DDL3752",1,42
"3","2016","DDL3800",1,42
"3","2016","DDL4147",1,38
"3","2016","DDL5310",1,25
"3","2016","DDL5400",1,60
"3","2016","DDL6000",2,124
"3","2016","DDL8010",1,15
"3","2016","DDL8110",2,26
"3","2016","DDL8220",1,17
"3","2016","DDL824C",1,18
"3","2016","DDL8430",1,10
"3","2016","DDL8450",1,13
"3","2016","DDL8490",1,7
"3","2016","DDL8531",4,95
"3","2016","DDL8532",2,27
"3","2016","DDL8533",1,17
"3","2016","DDL8534",1,14
"3","2016","DDL8535",1,10
"3","2016","DDL8570",1,17
"3","2016","DDM1201",2,237
"3","2016","DDM1650",3,241
"3","2016","DDM2655",9,236
"3","2016","DDM3509",1,31
"3","2016","DDM3600",11,191
"3","2016","DDM410A",1,50
"3","2016","DDM410B",1,31
"3","2016","DDM410C",1,38
"3","2016","DDM410E",1,47
"3","2016","DES1620",1,164
"3","2016","DES1640",6,121
"3","2016","DES3211",3,68
"3","2016","DES3213",1,20
"3","2016","DES3630",1,22
"3","2016","DES3650",2,57
"3","2016","DES5213",1,20
"3","2016","DES5573",1,15
"3","2016","DES5574",2,40
"3","2016","DES5620",2,81
"3","2016","DES5632",2,36
"3","2016","DES5634",1,15
"3","2016","DES7103",1,18
"3","2016","DES7104",1,9
"3","2016","DES7510",1,11
"3","2016","DIC9271",1,10
"3","2016","DIC9370",1,5
"3","2016","DIC938I",1,2
"3","2016","DLS1001",1,37
"3","2016","DLS1201",2,86
"3","2016","DLS2003",1,28
"3","2016","DLS2103",2,27
"3","2016","DLS2203",2,58
"3","2016","DLS2303",3,53
"3","2016","DLS3005",1,22
"3","2016","DLS3205",2,63
"3","2015","DLS3305",2,28
"3","2016","DLS3305",2,51
"3","2016","DME9000",1,39
"3","2016","DME9005",1,38
"3","2016","DME905H",1,9
"3","2016","DSA7010",1,17
"3","2016","DSR2010",16,763
"3","2016","DSR3010",1,43
"1","2016","DSR3120",1,1
"3","2016","DSR3120",1,218
"3","2016","DSR4700",4,270
"3","2016","DSR4980",1,47
"3","2016","DSR5100",13,703
"3","2016","DSR5560",2,117
"3","2016","DSR5931",1,49
"3","2016","DSR5970",1,34
"3","2016","DSR5983",1,29
"3","2016","DSR6102",1,32
"3","2016","DSR6200",1,57
"3","2016","DSR6305",1,31
"3","2016","DSR6308",1,45
"3","2016","DSR6720",1,38
"3","2016","DSR6985",1,24
"3","2016","DSR7610",1,17
"3","2016","DSR8200",1,42
"3","2016","DSR8400",1,17
"3","2016","DSR8401",1,22
"3","2016","DSR8403",3,52
"3","2016","DSR8405",1,10
"3","2016","DSR8406",1,7
"3","2016","DSR8410",2,49
"3","2016","DSR8413",1,21
"3","2016","ECO0115",1,38
"3","2016","ECO1003",1,73
"3","2016","ECO1012",2,145
"3","2016","ECO1022",2,114
"3","2016","ECO1055",3,171
"3","2016","ECO1061",1,87
"3","2016","ECO1081",1,65
"3","2016","ECO1300",20,1186
"3","2016","ECO1492",1,56
"3","2016","ECO2012",1,34
"3","2016","ECO2022",1,52
"3","2016","ECO2045",1,70
"3","2016","ECO2272",1,57
"3","2016","ECO2400",18,1164
"3","2016","ECO2431",2,104
"3","2016","ECO3012",1,72
"3","2016","ECO3350",1,41
"3","2016","ECO3400",1,67
"3","2016","ECO3550",2,115
"3","2016","ECO4012",1,44
"3","2016","ECO4400",1,39
"3","2016","ECO4412",1,22
"3","2016","ECO4430",1,24
"3","2016","ECO5051",1,37
"3","2016","ECO5072",1,31
"3","2016","ECO5550",1,43
"3","2016","ECO6080",1,57
"3","2016","ECO7001",1,36
"3","2016","ECO8000",1,5
"3","2016","ECO8051",1,5
"3","2016","ECO8071",1,8
"3","2016","ECO8402",2,44
"3","2016","ECO8601",1,21
"3","2016","ECO9011",1,7
"3","2016","EDM1001",2,234
"3","2016","EDM1005",1,58
"3","2016","EDM1008",1,51
"3","2016","EDM1050",1,34
"3","2016","EDM1501",1,69
"3","2016","EDM1560",1,62
"3","2016","EDM2005",1,128
"3","2016","EDM2035",1,49
"3","2016","EDM2501",1,27
"3","2016","EDM2503",1,29
"3","2016","EDM2530",1,57
"3","2016","EDM2615",2,59
"3","2016","EDM2852",1,58
"3","2016","EDM2860",1,44
"3","2016","EDM3110",1,22
"3","2016","EDM3246",1,56
"3","2016","EDM3400",1,44
"3","2016","EDM3840",2,61
"3","2016","EDM4521",1,59
"3","2016","EDM4550",2,101
"3","2016","EDM7021",1,9
"3","2016","EDM7620",1,17
"3","2016","EDM8131",1,11
"3","2016","EFA1040",1,42
"3","2016","EFA2028",1,41
"3","2016","EFA3010",1,44
"3","2016","EFA4650",2,78
"3","2016","EFA7910",1,12
"3","2016","EFA7967",3,37
"3","2016","EFA7969",1,10
"3","2016","EFA7991",1,4
"3","2016","EFM4025",1,16
"3","2016","EFS7080",1,12
"3","2016","EFS7211",1,10
"3","2016","EFS7221",1,19
"3","2016","EFS7231",1,12
"3","2016","EFS8010",1,29
"3","2016","EFS8020",1,11
"3","2016","EMB7005",1,6
"3","2016","ENV7000",1,30
"3","2016","ENV7040",1,30
"3","2016","ENV7151",1,4
"3","2016","ENV7210",1,7
"3","2016","ENV7220",1,7
"3","2016","ENV7331",1,15
"3","2016","ENV773J",1,6
"3","2016","ENV773K",1,6
"3","2016","ENV9301",1,12
"3","2016","ENV9501",1,19
"3","2016","EPA9002",1,11
"3","2016","EPA9003",1,4
"3","2016","EPA901M",1,4
"3","2016","EPA902H",1,8
"3","2016","ERG7004",1,13
"3","2016","ERG7005",1,17
"3","2016","ERG7200",1,12
"3","2016","ESM2255",3,45
"3","2016","ESM2455",2,35
"3","2016","ESM4285",3,42
"3","2016","ESM4385",2,29
"3","2016","ESM6250",1,14
"3","2016","ESM6950",1,24
"3","2016","ESP1000",5,210
"3","2016","ESP1200",2,94
"3","2016","ESP2000",1,51
"3","2016","ESP2100",1,20
"3","2016","ESP2300",1,22
"3","2016","ESP2500",1,21
"3","2016","ESP2600",1,25
"3","2016","ESP3100",1,23
"3","2016","EST101A",1,29
"3","2016","EST1100",1,33
"3","2016","EST1305",1,91
"3","2016","EST1406",1,29
"3","2016","EST172A",1,29
"3","2016","EST2150",1,20
"3","2016","EST2500",1,20
"3","2016","EST3000",2,51
"3","2016","EST3292",1,15
"3","2016","EST3300",1,18
"3","2016","EST3310",1,25
"3","2016","EST5011",1,27
"3","2016","EST5040",1,19
"3","2016","EST5075",1,55
"3","2016","EST5090",1,27
"3","2016","EST7623",1,17
"3","2016","EST763A",1,16
"3","2016","EST8000",1,16
"3","2016","EST8100",2,21
"3","2016","EST850S",1,13
"3","2016","ETH5002",1,54
"3","2016","EUR8214",1,22
"3","2016","EUR8452",1,14
"3","2016","EUR8456",1,24
"3","2016","EUR8511",1,14
"3","2016","EUR9335",1,4
"3","2016","EUT1011",1,85
"3","2016","EUT1012",3,80
"3","2016","EUT1014",1,26
"3","2016","EUT1015",1,26
"3","2016","EUT1017",3,82
"3","2016","EUT1021",1,45
"3","2016","EUT1032",1,54
"3","2016","EUT1041",1,71
"3","2016","EUT1051",1,38
"3","2016","EUT1061",2,70
"3","2016","EUT1071",1,59
"3","2016","EUT1072",2,202
"3","2016","EUT1123",2,87
"3","2016","EUT3018",2,50
"3","2016","EUT3027",3,63
"3","2016","EUT3111",3,75
"3","2015","EUT3111",1,24
"3","2016","EUT4010",1,109
"3","2016","EUT4021",1,73
"3","2016","EUT4115",1,28
"3","2016","EUT4138",1,28
"3","2016","EUT4150",1,26
"3","2016","EUT4428",1,24
"3","2016","EUT4515",1,47
"3","2016","EUT5000",1,9
"3","2016","EUT5013",2,82
"3","2016","EUT5020",1,35
"3","2016","EUT5045",1,43
"3","2016","EUT5050",1,43
"3","2016","EUT5108",1,47
"3","2016","EUT5109",1,40
"3","2016","EUT5201",1,7
"3","2016","EUT5501",1,33
"3","2016","EUT5503",1,30
"3","2016","FAM1100",1,90
"3","2016","FAM1201",1,93
"3","2016","FAM1500",2,167
"3","2016","FCM100F",1,77
"3","2016","FCM1413",2,64
"3","2016","FCM2870",1,65
"3","2016","FCM3240",1,64
"3","2016","FCM7000",2,78
"3","2016","FCM7601",1,6
"3","2016","FCM7650",1,13
"3","2016","FCM915D",1,21
"3","2016","FCM918J",1,3
"3","2016","FEM1200",1,54
"3","2016","FEM300B",1,67
"3","2016","FEM5000",1,20
"3","2016","FEM7000",2,26
"3","2016","FFM2650",1,20
"3","2016","FFM3500",1,4
"3","2016","FFM3850",1,23
"3","2016","FIN3500",20,1032
