"registrim","regisannee","sigle","nbcours","etudiants"
"1","2017","ACM4001","1","31"
"1","2017","ACM6032","1","12"
"1","2017","ACT1200","1","70"
"1","2017","ACT2035","2","82"
"1","2017","ACT2040","1","30"
"1","2017","ACT2050","1","36"
"1","2017","ACT2100","1","44"
"1","2017","ACT3030","1","33"
"1","2017","ACT3040","1","55"
"1","2017","ACT3122","1","14"
"1","2017","ACT4121","1","51"
"1","2017","ACT4545","1","71"
"1","2017","ACT5001","1","44"
"1","2017","ACT5120","1","37"
"1","2017","ACT6121","1","13"
"1","2017","ACT6220","1","15"
"1","2017","ACT6420","1","41"
"1","2017","ACT650C","1","15"
"1","2017","ADM8100","1","2"
"1","2017","ADM9936","1","2"
"1","2017","ADM9983","1","3"
"1","2017","ALL1100","3","111"
"1","2017","ALL1110","1","22"
"1","2017","ALL1200","2","50"
"1","2017","ALL2020","1","20"
"1","2017","ALL3000","1","37"
"1","2017","ALL3010","1","25"
"1","2017","ANG2051","1","33"
"1","2017","ANG2052","1","26"
"1","2017","ANG2053","1","39"
"1","2017","ANG2054","1","25"
"1","2017","ANG2055","1","31"
"1","2017","ANG2111","1","40"
"1","2017","ANG2152","1","30"
"1","2017","ANG2156","1","39"
"1","2017","ANG2157","1","33"
"1","2017","ANG3002","1","43"
"1","2017","ANG3005","2","63"
"1","2017","ANG3051","1","38"
"1","2017","ANG3053","1","26"
"1","2017","ANG3054","1","26"
"1","2017","ANG3056","1","29"
"1","2017","ANG3067","2","52"
"1","2017","ANG3151","1","38"
"1","2017","ANG3152","2","63"
"1","2017","ANG3153","1","24"
"1","2017","ANG3154","1","43"
"1","2017","ANG3156","1","36"
"1","2017","ANG3158","1","33"
"1","2017","ANG4002","1","36"
"1","2017","ANG4005","1","37"
"1","2017","ANG4052","1","34"
"1","2017","ANG4053","1","34"
"1","2017","ANG4152","1","30"
"1","2017","ANG4154","1","44"
"1","2017","ANG5054","1","18"
"1","2017","APL1502","1","8"
"1","2017","ARA1110","1","43"
"1","2017","ARA1111","1","29"
"1","2017","ARA1200","1","30"
"1","2017","ARA1310","1","18"
"1","2017","ARM2100","1","14"
"1","2017","ARM2200","1","17"
"1","2017","ARV2060","1","30"
"1","2017","ARV2070","1","34"
"1","2017","ASC2047","7","311"
"1","2017","ASC6003","2","88"
"1","2017","ASC7001","1","9"
"1","2017","ASC7805","1","13"
"1","2017","ASM1400","6","112"
"1","2017","ASM1406","2","42"
"1","2017","ASM2400","5","81"
"1","2017","ASM2406","2","32"
"1","2017","ASM2452","6","114"
"1","2017","ASM4400","5","74"
"1","2017","ASM4405","2","31"
"1","2017","ASM4500","2","105"
"1","2017","ASM6401","2","104"
"1","2017","ASS1351","1","44"
"1","2017","ASS1402","1","36"
"1","2017","ASS1801","2","117"
"1","2017","ASS1810","2","116"
"1","2017","ASS2063","3","174"
"1","2017","ASS2065","2","103"
"1","2017","ASS2067","4","227"
"1","2017","ASS2075","1","45"
"1","2017","ASS2225","1","37"
"1","2017","ASS2460","2","58"
"1","2017","ASS2515","1","45"
"1","2017","ASS2800","1","47"
"1","2017","ASS3070","1","51"
"1","2017","ASS3216","1","29"
"1","2017","ASS3800","2","112"
"1","2017","ASS3805","1","40"
"1","2017","ASS4815","1","18"
"1","2017","ASS4825","2","89"
"1","2017","ASS4840","2","75"
"1","2017","ASS4850","2","82"
"1","2017","ASS4851","1","34"
"1","2017","ASS5101","1","47"
"1","2017","ASS6030","2","97"
"1","2017","ASS6035","1","18"
"1","2017","ASS6826","2","93"
"1","2017","ASS6834","2","103"
"1","2017","ASS7102","1","17"
"1","2017","ASS7114","1","16"
"1","2017","ASS7160","2","40"
"1","2017","ASS7163","2","21"
"1","2017","ASS8002","1","9"
"1","2017","ASS8015","1","17"
"1","2017","ASS833B","1","7"
"1","2017","AVI1001","1","46"
"1","2017","AVI1002","1","60"
"1","2017","AVI1101","1","25"
"1","2017","AVI1201","1","21"
"1","2017","AVI1301","2","47"
"1","2017","AVI1302","2","48"
"1","2017","AVI1401","1","22"
"1","2017","AVI1901","1","30"
"1","2017","AVI1902","1","34"
"1","2017","AVM1305","1","23"
"1","2017","AVM1310","3","61"
"1","2017","AVM1901","2","38"
"1","2017","AVM2320","1","13"
"1","2017","AVM2340","1","7"
"1","2017","AVM2341","1","18"
"1","2017","AVM2400","1","20"
"1","2017","AVM2501","2","39"
"1","2017","AVM2901","1","16"
"1","2017","AVM3331","1","14"
"1","2017","AVM4001","1","12"
"1","2017","AVM460A","1","10"
"1","2017","AVM4900","1","23"
"1","2017","AVM5701","1","13"
"1","2017","AVM580P","1","12"
"1","2017","AVM8010","2","24"
"1","2017","AVM802T","1","7"
"3","2016","AVM8185","1","4"
"1","2017","AVM8301","2","20"
"1","2017","BGP4001","1","12"
"1","2017","BIA1001","1","21"
"1","2017","BIA1601","1","81"
"1","2017","BIA1700","1","81"
"1","2017","BIA1800","1","69"
"1","2017","BIA2201","1","57"
"1","2017","BIA2500","1","63"
"1","2017","BIA2600","1","68"
"1","2017","BIA2700","1","54"
"1","2017","BIA3511","1","20"
"1","2017","BIA3531","1","29"
"1","2017","BIA3710","1","17"
"1","2017","BIA3720","1","21"
"1","2017","BIA3730","1","25"
"1","2017","BIF7101","1","15"
"1","2017","BIF7104","1","14"
"1","2017","BIO0300","1","42"
"1","2017","BIO1010","1","18"
"1","2017","BIO1015","1","9"
"1","2017","BIO1302","1","31"
"1","2017","BIO1320","1","52"
"1","2017","BIO1331","1","33"
"1","2017","BIO1410","1","18"
"1","2017","BIO1900","1","16"
"1","2017","BIO3100","1","31"
"1","2017","BIO3351","1","45"
"1","2017","BIO3600","1","26"
"1","2017","BIO4020","1","22"
"1","2017","BIO4561","1","45"
"1","2017","BIO5091","1","87"
"1","2017","BIO6655","1","48"
"1","2017","BIO8850","1","6"
"1","2017","BIO8970","1","6"
"1","2017","CAR1110","3","144"
"1","2017","CAR2400","3","131"
"1","2017","CAR2450","2","126"
"1","2017","CAR2600","5","112"
"1","2017","CAR2700","4","96"
"1","2017","CAR2903","2","116"
"1","2017","CAR3330","2","99"
"1","2017","CAR3720","3","72"
"1","2017","CAR3800","2","115"
"1","2017","CAR7210","1","16"
"1","2017","CAR7500","2","23"
"1","2017","CAR7740","2","22"
"1","2017","CAR7802","2","22"
"1","2017","CAR8920","2","25"
"1","2017","CHI1104","1","45"
"1","2017","CHI1280","1","12"
"1","2017","CHI1301","1","28"
"1","2017","CHI1402","1","32"
"1","2017","CHI1515","1","31"
"1","2017","CHI1570","2","190"
"1","2017","CHI1822","1","53"
"1","2017","CHI1830","1","40"
"1","2017","CHI2100","1","22"
"1","2017","CHI2104","1","8"
"1","2017","CHI2130","1","13"
"1","2017","CHI2170","1","14"
"1","2017","CHI2202","1","17"
"1","2017","CHI2300","1","93"
"1","2017","CHI2313","1","22"
"1","2017","CHI2413","1","21"
"1","2017","CHI2570","1","29"
"1","2017","CHI2815","1","33"
"1","2017","CHI3141","1","22"
"1","2017","CHI3213","1","44"
"1","2017","CHI3421","1","26"
"1","2017","CHI3461","1","57"
"1","2017","CHI3490","1","59"
"1","2017","CHI3513","1","20"
"1","2017","CHI3533","1","26"
"1","2017","CHI3550","1","27"
"1","2017","CHI3900","1","53"
"1","2017","CHI7461","1","2"
"1","2017","CHI7500","1","11"
"1","2017","CHI8120","1","7"
"1","2017","CHN1100","3","62"
"1","2017","CHN1110","1","13"
"1","2017","CHN1113","1","21"
"1","2017","CHN1200","1","22"
"1","2017","CHN1300","1","10"
"1","2017","CHN1500","1","9"
"1","2017","COM1015","1","45"
"1","2017","COM1065","4","141"
"1","2017","COM1066","2","82"
"1","2017","COM1105","1","29"
"1","2017","COM1115","2","69"
